label,message
0,Go until jurong point crazy
0,Ok lar Joking wif u oni
1,Free entry in 2 a wkly comp to win FA Cup
1,U dun say so early hor U c already then say
0,Nah I don think he goes to usf he lives around here though
1,FreeMsg Hey there its been a while
0,Even my brother is not like to speak with me
1,WINNER As a valued network customer you have been selected
0,Just forced myself out of bed and now im going to force myself to shower
1,Had your mobile 11 months or more
0,I am in hospital da I will come home in evening
1,URGENT Your account has been compromised
0,What you doing how are you
1,Congratulations you have won a prize worth 5000 dollars
0,Can we meet tomorrow for lunch
1,Limited time offer buy one get one free
0,Thanks for your help I really appreciate it
1,You have been chosen to receive a free gift card
0,See you at the meeting tomorrow
1,Double your income in just 2 weeks click here
0,Happy birthday hope you have a great day
1,Exclusive deal just for you save up to 80 percent
0,Can you send me the report by Friday
1,You won a lottery claim your prize now
0,I will be there in 10 minutes
1,Get cheap meds online no prescription needed
0,The project deadline has been moved to next week
1,Your loan has been approved no credit check required
0,Dinner tonight at 7pm at the Italian place
1,Make money fast with this simple trick
0,I finished reading that book you recommended
1,Urgent reply needed your package is waiting
0,Let me know when you are free this weekend
1,Win a brand new car enter now for free
0,The weather is really nice today
1,Congrats your number was selected for 10000 cash prize
0,Can you pick up some groceries on your way home
1,Act now limited stock available order today
0,Just got back from the gym feeling great
1,Your mobile number has won 2000 pounds in our draw
0,Do you want to watch a movie tonight
1,Get a free iphone 15 today only
0,I am running a bit late will be there soon
1,Important your account will be closed in 24 hours
0,Good morning hope you slept well
1,Cheap flights available book now and save big
0,The kids had a great time at the party
1,Your credit score entitles you to a special offer
0,Meeting rescheduled to 3pm
1,You have a missed call from an unknown number urgent
0,I love the new design looks amazing
1,Claim your free trial today no strings attached
0,Sure I can help with that no problem
1,Breaking news you must see this now
0,Thanks for dinner last night it was lovely
1,SPECIAL PROMOTION spend 50 and get 25 off
0,Can you review my presentation before Monday
1,You have been pre-approved for a premium card
0,I am going to the store need anything
1,Last chance to save up to 90 percent on all items
0,Great job on the presentation today
1,Urgent your subscription is expiring renew now
